gene_symbol,evidence_strength,biological_coherence,translational_relevance,leakage_gate,heterogeneity_gate,positive_score,audit_score,audit_class,rank,audit_score_median,audit_score_lo95,audit_score_hi95,uncertainty_width,confidence_class,anchor_secondary,anchor_primary
IGFBP3,1,0.86747578636158,0.7,1,0.7,0.878616525226553,0.646652973066924,supported_uncertain,70,0.587506911327991,0.242604602250495,0.857429199811584,0.61482459756109,high_uncertain,FALSE,FALSE
LAMC3,0.5,0.967956416769642,0.3,1,1,0.613784745869375,0.645342046832767,high_confidence,71,0.680470634840703,0.62382239502543,0.727603412733593,0.103781017708163,stable_high,FALSE,FALSE
C8B,1,0.630485218522392,1,1,0.7,0.870669826482837,0.640804282288697,supported_uncertain,72,0.526873490453848,0.220596887747891,0.588935468025262,0.368338580277371,high_uncertain,FALSE,FALSE
SERPINA1,1,0.629540601323144,1,1,0.7,0.8703392104631,0.640560952205585,supported_uncertain,73,0.52025633061054,0.217588442214737,0.736086887591992,0.518498445377255,high_uncertain,TRUE,TRUE
EDIL3,0.5,0.950920906342044,0.3,1,1,0.607822317219715,0.63907306420529,high_confidence,74,0.670792734778806,0.495478918319602,0.715908741043101,0.220429822723499,high_uncertain,FALSE,FALSE
TRIM29,0.75,0.874790580623827,0,1,1,0.606176703218339,0.637342842144394,high_confidence,75,0.648129009751119,0.441034938215528,0.732829684533126,0.291794746317598,high_uncertain,FALSE,FALSE
GALNT5,0.75,0.874767750601012,0,1,1,0.606168712710354,0.637334440810191,high_confidence,76,0.675601731860752,0.612399380251642,0.73733514807908,0.124935767827438,stable_high,FALSE,FALSE
TSPAN1,0.75,0.874515980152554,0,1,1,0.606080593053394,0.637241790544489,high_confidence,77,0.677992998911099,0.611793880660548,0.740641899834056,0.128848019173508,stable_high,FALSE,FALSE
COL17A1,0.75,0.874501281661013,0,1,1,0.606075448581355,0.637236381573122,high_confidence,78,0.66688333911782,0.45126328504722,0.736154639577327,0.284891354530107,high_uncertain,FALSE,FALSE
CLIC3,0.75,0.874408735058043,0,1,1,0.606043057270315,0.637202324886137,high_confidence,79,0.676543094966017,0.62252733218062,0.73739519222667,0.114867860046049,stable_high,FALSE,FALSE
ANO1,0.75,0.874095601734729,0,1,1,0.605933460607155,0.637087093389419,high_confidence,80,0.677742814772738,0.618505917792385,0.746383338404001,0.127877420611615,stable_high,FALSE,FALSE
KRT16,0.75,0.873445046587626,0,1,1,0.605705766305669,0.636847692349295,high_confidence,81,0.654644916134827,0.444318872719152,0.731257876699805,0.286939003980653,high_uncertain,FALSE,FALSE
SERPINB5,0.75,0.873368727571088,0,1,1,0.605679054649881,0.636819607332949,high_confidence,82,0.68191518257228,0.623951583302352,0.735650705826665,0.111699122524313,stable_high,FALSE,FALSE
AHNAK2,0.75,0.872404223045399,0,1,1,0.60534147806589,0.636464674491849,high_confidence,83,0.678936227039896,0.619401865696232,0.743288682793328,0.123886817097096,stable_high,FALSE,FALSE
