scenario,fold100,pval100,neg_top100,v02fp_top1k,ltbp1_rank,gapdh_score,jaccard100,spearman
RAND_0244,28.8942857142857,8.35064971012568e-06,0,0,236,0,0.904761904761905,0.999233195275756
RAND_0245,21.6707142857143,0.000315516010147151,0,0,369,0,0.70940170940171,0.994975039199271
RAND_0246,28.8942857142857,8.35064971012568e-06,0,1,92,0,0.869158878504673,0.993828742565187
RAND_0247,28.8942857142857,8.35064971012568e-06,0,1,44,0,0.70940170940171,0.994291190418951
RAND_0248,21.6707142857143,0.000315516010147151,0,0,407,0,0.785714285714286,0.999334989618359
RAND_0249,21.6707142857143,0.000315516010147151,0,1,361,0,0.886792452830189,0.997785352928969
RAND_0250,28.8942857142857,8.35064971012568e-06,0,0,388,0,0.869158878504673,0.999383639239534
RAND_0251,28.8942857142857,8.35064971012568e-06,0,0,317,0,0.851851851851852,0.996744579601609
RAND_0252,28.8942857142857,8.35064971012568e-06,0,0,242,0,0.70940170940171,0.992193585250928
RAND_0253,21.6707142857143,0.000315516010147151,0,0,441,0,0.801801801801802,0.999851627394269
RAND_0254,21.6707142857143,0.000315516010147151,0,0,379,0,0.739130434782609,0.998397270464114
RAND_0255,28.8942857142857,8.35064971012568e-06,0,0,248,0,0.724137931034483,0.992833423773216
RAND_0256,28.8942857142857,8.35064971012568e-06,0,0,394,0,0.818181818181818,0.99524984607488
RAND_0257,28.8942857142857,8.35064971012568e-06,0,1,323,0,0.886792452830189,0.998032023049976
RAND_0258,28.8942857142857,8.35064971012568e-06,0,0,430,0,0.785714285714286,0.999537419504671
RAND_0259,28.8942857142857,8.35064971012568e-06,0,1,29,0,0.724137931034483,0.995617397550913
RAND_0260,21.6707142857143,0.000315516010147151,0,0,336,0,0.70940170940171,0.997314551340237
RAND_0261,21.6707142857143,0.000315516010147151,0,0,481,0,0.70940170940171,0.996382932566422
RAND_0262,21.6707142857143,0.000315516010147151,0,0,374,0,0.941747572815534,0.999385985662038
RAND_0263,21.6707142857143,0.000315516010147151,0,0,405,0,0.680672268907563,0.990135953510731
RAND_0264,28.8942857142857,8.35064971012568e-06,0,0,289,0,0.769911504424779,0.995276069979245
RAND_0265,21.6707142857143,0.000315516010147151,0,0,399,0,0.754385964912281,0.996422673643579
RAND_0266,21.6707142857143,0.000315516010147151,0,0,386,0,0.98019801980198,0.999761836334772
RAND_0267,28.8942857142857,8.35064971012568e-06,0,0,344,0,0.754385964912281,0.994640697651231
RAND_0268,28.8942857142857,8.35064971012568e-06,0,1,97,0,0.739130434782609,0.995744066567793
RAND_0269,28.8942857142857,8.35064971012568e-06,0,0,356,0,0.818181818181818,0.996637228943658
