gene_symbol,audit_score_median,audit_score_lo95,audit_score_hi95,uncertainty_width,rank_median,rank_lo95,rank_hi95,confidence_class,is_hk,is_plasma_hi,leakage_mult,max_I2_meta,rna_pattern_rho,rna_cohort_agreement
SLC2A1,0.514176017124586,0.220990755907908,0.752267513943305,0.531276758035397,509.5,16.475,3951.975,high_uncertain,FALSE,FALSE,1,75.361484009994,0.996182801680327,1
SLC2A11,0.0322957808931892,0.0112829217079961,0.0882077086290232,0.0769247869210271,8552.5,6476.475,9736.65,low,FALSE,FALSE,1,93.5809990522123,0.965663688955797,0.75
SLC2A12,0.264389067949184,0.108193728237539,0.314112130170874,0.205918401933335,3365,2601.325,5858.45,low,FALSE,FALSE,1,86.8979039744369,0.992769486843881,0.75
SLC2A13,0.0243382778445458,0.00732372528251836,0.080882906057448,0.0735591807749296,9071,6735.95,9887.825,low,FALSE,FALSE,1,93.0026014723411,0.956146254890861,0.5
SLC2A14,0.125598268334526,0.10803434634877,0.309560752409884,0.201526406061115,5285,2620,5861.525,low,FALSE,FALSE,1,96.3278780883112,0.976147292580249,0.75
SLC2A2,0.139675638933893,0.123083151511411,0.331542039490668,0.208458887979258,4927,2302.375,5344.1,low,FALSE,FALSE,1,94.0352311866066,0.994537503334454,1
SLC2A4,0.125789446368116,0.106072801523642,0.309867762098569,0.203794960574927,5293.5,2605.95,5877.25,low,FALSE,FALSE,1,93.4805943228946,0.987138810359713,0.5
SLC2A5,0.37091451745104,0.253771409753118,0.44748503508926,0.193713625336142,1847.5,938.95,3501.925,low,FALSE,FALSE,1,68.9573579798449,0.993070263527803,0.5
SLC2A8,0.275445069718925,0.110886411939732,0.320589393805573,0.209702981865841,3178,2491.9,5744.525,low,FALSE,FALSE,1,85.8696276521911,0.920093685728729,0.75
SLC2A9,0.336423826541442,0.278639667756932,0.377790551937685,0.0991508841807537,2252,1864.9,3074.3,low,FALSE,FALSE,1,39.856909292738,0.958564089701646,0.75
SLC30A10,0.27726689854217,0.110158906085232,0.383777391264417,0.273618485179184,3165,1702.525,5798,low,FALSE,FALSE,1,83.1753450036327,0.976294368356348,0.5
SLC30A2,0.514388417355401,0.45508959248176,0.553751775704195,0.0986621832224351,500,448,769.825,high_uncertain,FALSE,FALSE,1,43.1725388046242,0.968204693811605,1
SLC30A4,0.0497617653130389,0.0157634885927123,0.0891926207862714,0.0734291321935591,7715,6389,9527.4,low,FALSE,FALSE,1,87.070756841214,0.94844770023549,0.75
