gene_symbol,score_layer,score_direction,score_early,score_serum,score_rescue,positive_score,leakage_mult,het_mult,audit_score_raw,audit_score,is_hk,is_plasma_hi,rescue_eligible
SLC25A22,0.5,0.75,0.999359759965526,0,0,0.449871951993105,1,0.3,0.134961585597932,0.181372152420795,FALSE,FALSE,FALSE
SLC25A23,0.25,0.25,0.997545789270539,0,0,0.299509157854108,1,0.7,0.209656410497875,0.281753020849218,FALSE,FALSE,FALSE
SLC25A24,0.5,0.75,0.373949352516958,0,0,0.324789870503392,1,1,0.324789870503392,0.43647855526213,FALSE,FALSE,FALSE
SLC25A26,0.25,0.5,0.99705070124253,0,0,0.349410140248506,1,0.3,0.104823042074552,0.140869571738704,FALSE,FALSE,FALSE
SLC25A27,0,0.25,0,0,0,0.05,1,0.3,0.015,0.0201581974178705,FALSE,FALSE,FALSE
SLC25A28,0.25,0.375,0.904058744935721,0,0,0.305811748987144,1,1,0.305811748987144,0.410974240585807,FALSE,FALSE,FALSE
SLC25A3,0.25,0.375,0.94791668558092,0,0,0.314583337116184,1,0.3,0.0943750011348552,0.126828660279211,FALSE,FALSE,FALSE
SLC25A30,0.25,0.5,0.369008463747151,0,0,0.22380169274943,1,0.7,0.156661184924601,0.210533806228508,FALSE,FALSE,FALSE
SLC25A33,0,0.375,0,0,0,0.075,1,0.7,0.0525,0.0705536909625467,FALSE,FALSE,FALSE
SLC25A34,0.25,0.375,0.989178880659903,0,0,0.322835776131981,1,0.3,0.0968507328395942,0.130155746176398,FALSE,FALSE,FALSE
SLC25A35,0.25,0.25,0.944962246712416,0,0,0.288992449342483,1,0.3,0.0866977348027449,0.116511336922394,FALSE,FALSE,FALSE
SLC25A36,0.25,0,0.521773728638152,0,0,0.15435474572763,1,1,0.15435474572763,0.207434229117518,FALSE,FALSE,FALSE
SLC25A37,0.25,0.25,0.366576920938348,0,0,0.17331538418767,1,0.7,0.121320768931369,0.163040534067092,FALSE,FALSE,FALSE
SLC25A38,0,0.25,0,0,0,0.05,1,0.7,0.035,0.0470357939750311,FALSE,FALSE,FALSE
SLC25A4,0.25,0.375,0,0,0,0.125,1,0.3,0.0375,0.0503954935446762,FALSE,FALSE,FALSE
SLC25A40,0.25,0.125,0,0,0,0.075,1,1,0.075,0.100790987089352,FALSE,FALSE,FALSE
SLC25A42,0,0.375,0,0,0,0.075,1,0.7,0.0525,0.0705536909625467,FALSE,FALSE,FALSE
